Pct.,Name,Combined Pcts.,Address,City,Date,Start Time,End Time,Zip Code,Latitude,Longitude,Area of City,Type,Hours,EZVote Code,Election Code,Boss Code
101,Dailey Middle School,"114, 115, 116, 119, 138",14000 Westall Street,Austin,12/16/2014,7:00,19:00,78725,30.242793,-97.58975,E,ED,R,427,GR14,23
102,Copperfield Elementary School, ,12135 Thompkins Drive,Austin,12/16/2014,7:00,19:00,78753,30.388295,-97.66011,NE,ED,R,302,GR14,24
103,Graham Elementary School,"104, 108",11211 Tom Adams Drive,Austin,12/16/2014,7:00,19:00,78753,30.37274,-97.6692,NE,ED,R,701,GR14,25
104,Graham Elementary School,"104, 108",11211 Tom Adams Drive,Austin,12/16/2014,7:00,19:00,78753,30.37274,-97.6692,NE,ED,R,701,GR14,25
105,Manor ISD Administration Building, ,10335 Hwy 290 East,Manor,12/16/2014,7:00,19:00,78653,30.344621,-97.573528,E,ED,R,1339,GR14,26
106,Elgin High School, ,14000 County Line Road,Elgin,12/16/2014,7:00,19:00,78621,30.366062,-97.403771,E,ED,R,506,GR14,27
107,New Sweden Lutheran Church, ,12809 New Sweden Church Road,Manor,12/16/2014,7:00,19:00,78653,30.405546,-97.486767,NE,ED,R,1405,GR14,28
108,Graham Elementary School,"104, 108",11211 Tom Adams Drive,Austin,12/16/2014,7:00,19:00,78753,30.37274,-97.6692,NE,ED,R,701,GR14,25
109,Parmer Lane Elementary School,111,1806 Parmer Lane,Austin,12/16/2014,7:00,19:00,78727,30.414372,-97.691717,N,ED,R,1600,GR14,29
111,Parmer Lane Elementary School,111,1806 Parmer Lane,Austin,12/16/2014,7:00,19:00,78727,30.414372,-97.691717,N,ED,R,1600,GR14,29
112,Dessau Elementary School, ,1501 Dessau Ridge Lane,Austin,12/16/2014,7:00,19:00,78754,30.401533,-97.643749,NE,ED,R,401,GR14,30
113,Wieland Elementary School, ,900 Tudor House Road,Pflugerville,12/16/2014,7:00,19:00,78660,30.422273,-97.639275,NE,ED,R,2334,GR14,31
114,Dailey Middle School,"114, 115, 116, 119, 138",14000 Westall Street,Austin,12/16/2014,7:00,19:00,78725,30.242793,-97.58975,E,ED,R,427,GR14,23
115,Dailey Middle School,"114, 115, 116, 119, 138",14000 Westall Street,Austin,12/16/2014,7:00,19:00,78725,30.242793,-97.58975,E,ED,R,427,GR14,23
116,Dailey Middle School,"114, 115, 116, 119, 138",14000 Westall Street,Austin,12/16/2014,7:00,19:00,78725,30.242793,-97.58975,E,ED,R,427,GR14,23
117,Turner-Roberts Recreation Center,120,7201 Colony Loop Drive,Austin,12/16/2014,7:00,19:00,78724,30.300165,-97.636786,E,ED,R,2021,GR14,32
118,Memorial United Methodist Church,"118, 133",6100 Berkman Drive,Austin,12/16/2014,7:00,19:00,78723,30.316198,-97.692964,E,ED,R,1315,GR14,38
119,Dailey Middle School,"114, 115, 116, 119, 138",14000 Westall Street,Austin,12/16/2014,7:00,19:00,78725,30.242793,-97.58975,E,ED,R,427,GR14,23
120,Turner-Roberts Recreation Center,120,7201 Colony Loop Drive,Austin,12/16/2014,7:00,19:00,78724,30.300165,-97.636786,E,ED,R,2021,GR14,32
121,Delco Center,"134, 128, 131",4601 Pecan Brook Drive,Austin,12/16/2014,7:00,19:00,78724,30.318025,-97.661204,E,ED,R,433,GR14,33
122,YMCA East Community Branch, ,5315 Ed Bluestein Boulevard,Austin,12/16/2014,7:00,19:00,78723,30.292079,-97.662262,E,ED,R,2500,GR14,34
124,Carver Branch Library, ,1161 Angelina Street,Austin,12/16/2014,7:00,19:00,78702,30.26968,-97.72418,E,ED,R,335,GR14,35
125,Bluebonnet Trail Elementary School,"125, 127",11316 Farmhaven Road,Austin,12/16/2014,7:00,19:00,78754,30.351472,-97.618289,E,ED,R,244,GR14,48
126,David Chapel Portable, ,2211 East MLK Jr. Boulevard,Austin,12/16/2014,7:00,19:00,78702,30.280221,-97.717517,E,ED,R,404,GR14,36
127,Bluebonnet Trail Elementary School,"125, 127",11316 Farmhaven Road,Austin,12/16/2014,7:00,19:00,78754,30.351472,-97.618289,E,ED,R,244,GR14,48
128,Delco Center,"134, 128, 131",4601 Pecan Brook Drive,Austin,12/16/2014,7:00,19:00,78724,30.318025,-97.661204,E,ED,R,433,GR14,33
129,Sims Elementary School, ,1203 Springdale Road,Austin,12/16/2014,7:00,19:00,78721,30.279507,-97.686068,E,ED,R,1907,GR14,37
130,Memorial United Methodist Church,"118, 133",6100 Berkman Drive,Austin,12/16/2014,7:00,19:00,78723,30.316198,-97.692964,E,ED,R,1315,GR14,38
131,Delco Center,"134, 128, 131",4601 Pecan Brook Drive,Austin,12/16/2014,7:00,19:00,78724,30.318025,-97.661204,E,ED,R,433,GR14,33
132,Pecan Springs Elementary School, ,3100 Rogge Lane,Austin,12/16/2014,7:00,19:00,78723,30.30285,-97.676922,E,ED,R,1604,GR14,39
133,Memorial United Methodist Church,"118, 133",6100 Berkman Drive,Austin,12/16/2014,7:00,19:00,78723,30.316198,-97.692964,E,ED,R,1315,GR14,38
134,Delco Center,"134, 128, 131",4601 Pecan Brook Drive,Austin,12/16/2014,7:00,19:00,78724,30.318025,-97.661204,E,ED,R,433,GR14,33
135,Messiah Lutheran Church, ,5701 Cameron Road,Austin,12/16/2014,7:00,19:00,78723,30.315154,-97.701137,E,ED,R,1316,GR14,40
138,Dailey Middle School,"114, 115, 116, 119, 138",14000 Westall Street,Austin,12/16/2014,7:00,19:00,78725,30.242793,-97.58975,E,ED,R,427,GR14,23
139,Gus Garcia Recreation Center,"140, 141",1201 East Rundberg Lane,Austin,12/16/2014,7:00,19:00,78753,30.35258,-97.68208,NE,ED,R,715,GR14,41
140,Gus Garcia Recreation Center,"140, 141",1201 East Rundberg Lane,Austin,12/16/2014,7:00,19:00,78753,30.35258,-97.68208,NE,ED,R,715,GR14,41
141,Gus Garcia Recreation Center,"140, 141",1201 East Rundberg Lane,Austin,12/16/2014,7:00,19:00,78753,30.35258,-97.68208,NE,ED,R,715,GR14,41
142,Travis County Airport Boulevard Offices, ,5501 Airport Boulevard,Austin,12/16/2014,7:00,19:00,78751,30.316062,-97.713196,C,ED,R,2041,GR14,42
148,"County Tax Office, Pflugerville",160,15822 Foothill Farms Loop,Pflugerville,12/16/2014,7:00,19:00,78660,30.44886,-97.65221,NE,ED,R,340,GR14,43
149,Reilly Elementary School, ,405 Denson Drive,Austin,12/16/2014,7:00,19:00,78752,30.328359,-97.719923,NC,ED,R,1814,GR14,44
151,Dottie Jordan Recreation Center, ,2803 Loyola Lane,Austin,12/16/2014,7:00,19:00,78723,30.314251,-97.673548,E,ED,R,430,GR14,45
152,Fiesta Mart Central, ,3909 North IH-35,Austin,12/16/2014,7:00,19:00,78722,30.29642,-97.71764,C,ED,R,623,GR14,46
153,Pioneer Crossing Elementary School, ,11300 Samsung Boulevard,Austin,12/16/2014,7:00,19:00,78754,30.361804,-97.639875,E,ED,R,1673,GR14,47
154,Bluebonnet Trail Elementary School,"125, 127",11316 Farmhaven Road,Austin,12/16/2014,7:00,19:00,78754,30.351472,-97.618289,E,ED,R,244,GR14,48
156,Virginia Brown Recreation Center, ,7500 Blessing Avenue,Austin,12/16/2014,7:00,19:00,78752,30.33222,-97.69341,E,ED,R,1942,GR14,49
160,"County Tax Office, Pflugerville",160,15822 Foothill Farms Loop,Pflugerville,12/16/2014,7:00,19:00,78660,30.44886,-97.65221,NE,ED,R,340,GR14,43
164,Barrington Elementary School, ,400 Cooper Drive,Austin,12/16/2014,7:00,19:00,78753,30.360989,-97.695923,N,ED,R,205,GR14,50
200,Baker Center,"200, 274",3908 Avenue B (Enter off of 39th Street),Austin,12/16/2014,7:00,19:00,78751,30.30393,-97.73588,C,ED,R,214,GR14,85
202,Red River Church,206,4425 Red River Street,Austin,12/16/2014,7:00,19:00,78751,30.304493,-97.719494,C,ED,R,1831,GR14,51
203,Boulder Ridge Community Room,227,3300 Killingsworth Lane,Pflugerville,12/16/2014,7:00,19:00,78660,30.413271,-97.605355,NE,ED,R,207,GR14,52
205,River Oaks Elementary School, ,12401 Scofield Farms Drive,Austin,12/16/2014,7:00,19:00,78758,30.408443,-97.68727,N,ED,R,1808,GR14,53
206,Red River Church,206,4425 Red River Street,Austin,12/16/2014,7:00,19:00,78751,30.304493,-97.719494,C,ED,R,1831,GR14,51
207,YMCA Northwest Branch, ,5807 McNeil Drive,Austin,12/16/2014,7:00,19:00,78729,30.445658,-97.733881,NW,ED,R,2501,GR14,54
208,"University of Texas, Flawn Academic Center",277,2400 Inner Campus Drive (On the West Mall),Austin,12/16/2014,7:00,19:00,78712,30.286086,-97.74033,C,ED,R,2101,GR14,55
209,Grant AME Worship Center,"222, 209",1701 Kramer Lane,Austin,12/16/2014,7:00,19:00,78758,30.385372,-97.704377,N,ED,R,705,GR14,83
210,O. Henry Middle School,251,2610 West 10th Street,Austin,12/16/2014,7:00,19:00,78703,30.285899,-97.774158,C,ED,R,1565,GR14,56
211,Walnut Creek Elementary School,"258, 226",401 West Braker Lane,Austin,12/16/2014,7:00,19:00,78753,30.37941,-97.684132,N,ED,R,2311,GR14,57
212,Bridge Point Elementary School,212,6401 Cedar Street,Austin,12/16/2014,7:00,19:00,78746,30.339621,-97.805743,W,ED,R,218,GR14,62
213,Cat Mountain Homeowners Association,"220, 213",6007 Mount Bonnell Road,Austin,12/16/2014,7:00,19:00,78731,30.34868,-97.77976,NW,ED,R,345,GR14,64
214,Congregation Beth Israel,214,3901 Shoal Creek Boulevard,Austin,12/16/2014,7:00,19:00,78756,30.308337,-97.747378,C,ED,R,352,GR14,84
215,Wells Branch MUD Recreation Center,"215, 229",3000 Shoreline Drive,Austin,12/16/2014,7:00,19:00,78728,30.45486,-97.683641,N,ED,R,2316,GR14,63
216,Northwest Elementary School, ,14014 Thermal Drive,Austin,12/16/2014,7:00,19:00,78728,30.431732,-97.675793,N,ED,R,1418,GR14,58
217,Lanier High School,"260, 224, 223",1201 Payton Gin Road,Austin,12/16/2014,7:00,19:00,78758,30.360795,-97.70781,N,ED,R,1204,GR14,59
218,ACC Northridge Campus, ,11928 Stonehollow Drive,Austin,12/16/2014,7:00,19:00,78758,30.40319,-97.70448,N,ED,R,130,GR14,60
219,Caldwell Elementary School, ,1718 Picadilly Drive,Round Rock,12/16/2014,7:00,19:00,78664,30.468326,-97.655218,NE,ED,R,329,GR14,61
220,Cat Mountain Homeowners Association,"220, 213",6007 Mount Bonnell Road,Austin,12/16/2014,7:00,19:00,78731,30.34868,-97.77976,NW,ED,R,345,GR14,64
221,Bridge Point Elementary School,212,6401 Cedar Street,Austin,12/16/2014,7:00,19:00,78746,30.339621,-97.805743,W,ED,R,218,GR14,62
222,Grant AME Worship Center,"222, 209",1701 Kramer Lane,Austin,12/16/2014,7:00,19:00,78758,30.385372,-97.704377,N,ED,R,705,GR14,83
223,Lanier High School,"260, 224, 223",1201 Payton Gin Road,Austin,12/16/2014,7:00,19:00,78758,30.360795,-97.70781,N,ED,R,1204,GR14,59
224,Lanier High School,"260, 224, 223",1201 Payton Gin Road,Austin,12/16/2014,7:00,19:00,78758,30.360795,-97.70781,N,ED,R,1204,GR14,59
225,Wells Branch MUD Recreation Center,"215, 229",3000 Shoreline Drive,Austin,12/16/2014,7:00,19:00,78728,30.45486,-97.683641,N,ED,R,2316,GR14,63
226,Walnut Creek Elementary School,"258, 226",401 West Braker Lane,Austin,12/16/2014,7:00,19:00,78753,30.37941,-97.684132,N,ED,R,2311,GR14,57
227,Boulder Ridge Community Room,227,3300 Killingsworth Lane,Pflugerville,12/16/2014,7:00,19:00,78660,30.413271,-97.605355,NE,ED,R,207,GR14,52
228,Brookdale North Austin,"267, 228",5310 Duval Road,Austin,12/16/2014,7:00,19:00,78727,30.418998,-97.744288,NW,ED,R,556,GR14,80
229,Wells Branch MUD Recreation Center,"215, 229",3000 Shoreline Drive,Austin,12/16/2014,7:00,19:00,78728,30.45486,-97.683641,N,ED,R,2316,GR14,63
231,Cat Mountain Homeowners Association,"220, 213",6007 Mount Bonnell Road,Austin,12/16/2014,7:00,19:00,78731,30.34868,-97.77976,NW,ED,R,345,GR14,64
232,Canyon Ridge Middle School,234,12601 Country Trails Lane,Austin,12/16/2014,7:00,19:00,78732,30.364942,-97.902984,NW,ED,R,344,GR14,65
233,Shepherd of the Hills Christian Church, ,6909 West Courtyard Drive,Austin,12/16/2014,7:00,19:00,78730,30.359962,-97.806052,NW,ED,R,1928,GR14,66
234,Canyon Ridge Middle School,234,12601 Country Trails Lane,Austin,12/16/2014,7:00,19:00,78732,30.364942,-97.902984,NW,ED,R,344,GR14,65
235,McCallum High School, ,5600 Sunshine Drive,Austin,12/16/2014,7:00,19:00,78756,30.326897,-97.729247,NC,ED,R,1321,GR14,67
236,Rosedale School, ,2117 West 49th Street,Austin,12/16/2014,7:00,19:00,78756,30.320155,-97.74033,C,ED,R,1818,GR14,68
237,Highland Park Baptist Church,240,5206 Balcones Drive,Austin,12/16/2014,7:00,19:00,78731,30.335241,-97.760028,W,ED,R,806,GR14,69
238,Murchison Middle School,247,3700 North Hills Drive,Austin,12/16/2014,7:00,19:00,78731,30.354148,-97.758869,NW,ED,R,1322,GR14,70
239,Northwest Baptist Church,"241, 239",6301 Woodrow Avenue,Austin,12/16/2014,7:00,19:00,78757,30.334602,-97.729622,NC,ED,R,1427,GR14,71
240,Highland Park Baptist Church,240,5206 Balcones Drive,Austin,12/16/2014,7:00,19:00,78731,30.335241,-97.760028,W,ED,R,806,GR14,69
241,Northwest Baptist Church,"241, 239",6301 Woodrow Avenue,Austin,12/16/2014,7:00,19:00,78757,30.334602,-97.729622,NC,ED,R,1427,GR14,71
242,Northwest Baptist Church,"241, 239",6301 Woodrow Avenue,Austin,12/16/2014,7:00,19:00,78757,30.334602,-97.729622,NC,ED,R,1427,GR14,71
243,Ben Hur Shrine Center, ,7811 Rockwood Lane,Austin,12/16/2014,7:00,19:00,78757,30.358129,-97.738055,NC,ED,R,249,GR14,72
244,Randalls Steiner Ranch, ,5145 RM 620 North,Austin,12/16/2014,7:00,19:00,78732,30.389683,-97.885008,NW,ED,R,1848,GR14,73
245,Grandview Hills Elementary School, ,12024 Vista Parke Drive,Austin,12/16/2014,7:00,19:00,78726,30.416315,-97.852907,NW,ED,R,716,GR14,74
246,Hill Elementary School, ,8601 Tallwood Drive,Austin,12/16/2014,7:00,19:00,78759,30.37672,-97.7487,NW,ED,R,808,GR14,75
247,Murchison Middle School,247,3700 North Hills Drive,Austin,12/16/2014,7:00,19:00,78731,30.354148,-97.758869,NW,ED,R,1322,GR14,70
248,Burnet Middle School, ,8401 Hathaway Drive,Austin,12/16/2014,7:00,19:00,78757,30.36445,-97.72589,NC,ED,R,212,GR14,76
249,St. Matthews Episcopal Church,"262, 253",8134 Mesa Drive,Austin,12/16/2014,7:00,19:00,78759,30.374282,-97.756852,NW,ED,R,1911,GR14,77
250,St. Luke United Methodist Church, ,1306 West Lynn Street,Austin,12/16/2014,7:00,19:00,78703,30.281517,-97.758963,C,ED,R,1915,GR14,78
251,O. Henry Middle School,251,2610 West 10th Street,Austin,12/16/2014,7:00,19:00,78703,30.285899,-97.774158,C,ED,R,1565,GR14,56
252,North Village Library, ,2505 Steck Avenue,Austin,12/16/2014,7:00,19:00,78757,30.36216,-97.73048,NC,ED,R,1448,GR14,79
253,St. Matthews Episcopal Church,"262, 253",8134 Mesa Drive,Austin,12/16/2014,7:00,19:00,78759,30.374282,-97.756852,NW,ED,R,1911,GR14,77
254,Brookdale North Austin,"267, 228",5310 Duval Road,Austin,12/16/2014,7:00,19:00,78727,30.418998,-97.744288,NW,ED,R,556,GR14,80
256,Howson Branch Library,266,2500 Exposition Boulevard,Austin,12/16/2014,7:00,19:00,78703,30.2982,-97.7676,C,ED,R,835,GR14,81
258,Walnut Creek Elementary School,"258, 226",401 West Braker Lane,Austin,12/16/2014,7:00,19:00,78753,30.37941,-97.684132,N,ED,R,2311,GR14,57
259,United Christian Church,259,3500 West Parmer Lane,Austin,12/16/2014,7:00,19:00,78727,30.423827,-97.709237,NW,ED,R,2102,GR14,82
260,Lanier High School,"260, 224, 223",1201 Payton Gin Road,Austin,12/16/2014,7:00,19:00,78758,30.360795,-97.70781,N,ED,R,1204,GR14,59
262,St. Matthews Episcopal Church,"262, 253",8134 Mesa Drive,Austin,12/16/2014,7:00,19:00,78759,30.374282,-97.756852,NW,ED,R,1911,GR14,77
263,United Christian Church,259,3500 West Parmer Lane,Austin,12/16/2014,7:00,19:00,78727,30.423827,-97.709237,NW,ED,R,2102,GR14,82
266,Howson Branch Library,266,2500 Exposition Boulevard,Austin,12/16/2014,7:00,19:00,78703,30.2982,-97.7676,C,ED,R,835,GR14,81
267,Brookdale North Austin,"267, 228",5310 Duval Road,Austin,12/16/2014,7:00,19:00,78727,30.418998,-97.744288,NW,ED,R,556,GR14,80
268,Grant AME Worship Center,"222, 209",1701 Kramer Lane,Austin,12/16/2014,7:00,19:00,78758,30.385372,-97.704377,N,ED,R,705,GR14,83
273,Congregation Beth Israel,214,3901 Shoal Creek Boulevard,Austin,12/16/2014,7:00,19:00,78756,30.308337,-97.747378,C,ED,R,352,GR14,84
274,Baker Center,"200, 274",3908 Avenue B (Enter off of 39th Street),Austin,12/16/2014,7:00,19:00,78751,30.30393,-97.73588,C,ED,R,214,GR14,85
275,Baker Center,"200, 274",3908 Avenue B (Enter off of 39th Street),Austin,12/16/2014,7:00,19:00,78751,30.30393,-97.73588,C,ED,R,214,GR14,85
277,"University of Texas, Flawn Academic Center",277,2400 Inner Campus Drive (On the West Mall),Austin,12/16/2014,7:00,19:00,78712,30.286086,-97.74033,C,ED,R,2101,GR14,55
